experiment_id,channel,no_clear_event,start_time_min,start_temp_c,maximum_time_min,maximum_temp_c,end_time_min,end_temp_c,notes
EJ01A2,TC7,False,90.333333,-11.4,93.35,-8.7,118.216667,-10.2,
EJ01A2,TC8,False,125.316667,-14.6,127.9,-11.6,147.85,-12.3,
EJ01A2,TC9,False,65.45,-6.7,67.133333,-5.9,101.45,-7.9,
EJ01A2,TC10,False,63.95,-6.1,65.966667,-4.7,101.95,-7.0,
EJ01A2,TC11,False,66.633333,-7.1,68.8,-6.9,115.133333,-11.1,
EJ01A2,TC12,False,80.65,-8.5,90.25,-7.1,111.383333,-9.6,
EJ01A2,TC13,False,70.133333,-7.9,72.383333,-6.9,116.633333,-9.1,
EJ01A2,TC14,False,79.816667,-9.8,82.983333,-8.1,118.466667,-9.7,
EJ01A2,TC15,False,68.383333,-6.9,71.3,-4.5,104.45,-7.0,
EJ01A2,TC16,False,66.966667,-7.4,69.05,-5.8,108.2,-9.8,
EJ01A3,TC1,False,76.483333,-9.3,78.566667,-6.0,108.866667,-8.4,
EJ01A3,TC2,False,120.316667,-13.7,123.066667,-9.3,142.85,-10.6,
EJ01A3,TC3,False,114.883333,-12.2,116.133333,-5.9,136.683333,-7.2,
EJ01A3,TC4,False,79.15,-9.9,81.15,-8.1,115.466667,-10.8,
EJ01A3,TC5,False,150.7,-15.7,153.133333,-11.4,170.75,-11.9,
EJ01A3,TC6,False,104.866667,-11.9,107.45,-9.5,130.5,-11.0,
EJ01A3,TC7,False,117.4,-13.3,119.15,-9.6,139.683333,-10.3,
EJ01A3,TC8,False,123.15,-14.6,125.833333,-11.7,147.2,-12.3,
EJ01A3,TC9,False,55.616667,-4.3,57.366667,-3.9,101.616667,-8.1,
EJ01A3,TC10,False,61.45,-5.0,62.7,-2.0,97.683333,-3.9,
EJ01A3,TC11,False,65.633333,-6.4,67.216667,-5.4,108.866667,-9.4,
EJ01A3,TC12,False,61.7,-5.2,63.133333,-3.5,105.366667,-7.1,
EJ01A3,TC13,False,65.216667,-6.1,66.716667,-3.6,106.533333,-7.4,
EJ01A3,TC14,False,79.4,-9.2,82.233333,-6.7,116.383333,-9.0,
EJ01A3,TC15,False,68.216667,-7.3,70.05,-4.6,103.45,-7.1,
EJ01A3,TC16,False,74.15,-9.2,77.316667,-6.6,105.7,-8.1,
EJ01A4,TC1,False,77.316667,-9.4,80.483333,-6.1,110.283333,-8.4,
EJ01A4,TC2,False,116.133333,-13.1,118.716667,-8.9,138.6,-9.7,
EJ01A4,TC3,False,121.316667,-12.8,123.233333,-5.9,142.85,-7.4,
EJ01A4,TC4,False,82.066667,-10.0,85.066667,-8.1,118.216667,-10.6,
EJ01A4,TC5,False,137.916667,-15.0,141.1,-11.1,159.633333,-11.5,
EJ01A4,TC6,False,108.533333,-11.8,111.633333,-9.4,134.5,-11.5,
EJ01A4,TC7,False,149.283333,-14.8,152.533333,-9.7,167.483333,-10.2,
EJ01A4,TC8,False,120.316667,-14.4,124.066667,-11.5,143.933333,-12.1,
EJ01A4,TC9,False,57.95,-4.5,60.2,-4.2,104.116667,-8.0,
EJ01A4,TC10,False,63.616667,-4.9,66.116667,-2.0,100.433333,-3.8,
EJ01A4,TC11,False,66.7,-6.7,70.133333,-5.4,112.216667,-9.8,
EJ01A4,TC12,False,65.033333,-6.0,67.966667,-3.8,106.783333,-6.2,
EJ01A4,TC13,False,66.633333,-6.3,69.716667,-3.5,100.85,-4.2,
EJ01A4,TC14,False,81.566667,-9.0,84.233333,-6.6,114.8,-8.4,
EJ01A4,TC15,False,69.216667,-7.2,71.216667,-4.5,106.116667,-6.9,
EJ01A4,TC16,False,75.883333,-9.4,79.066667,-6.9,109.2,-8.1,
EJ02A1,TC1,False,124.383333,-13.4,127.216667,-8.4,146.933333,-9.9,
EJ02A1,TC2,False,83.983333,-11.2,86.483333,-7.4,113.116667,-9.0,
EJ02A1,TC3,False,104.266667,-11.5,106.516667,-6.7,134.316667,-8.8,
EJ02A1,TC4,False,86.15,-11.6,87.733333,-9.8,115.866667,-10.2,
EJ02A1,TC5,False,102.766667,-12.7,105.433333,-9.5,130.733333,-10.3,
EJ02A1,TC6,False,127.733333,-13.5,130.233333,-9.1,151.016667,-10.0,
EJ02A1,TC7,False,94.083333,-12.6,97.833333,-7.1,118.45,-8.5,
EJ02A1,TC8,False,125.216667,-14.2,127.983333,-11.5,148.683333,-12.4,
EJ02A1,TC9,False,97.5,-12.0,100.766667,-8.5,126.3,-10.1,
EJ02A1,TC10,False,93.5,-12.4,96.083333,-8.7,124.466667,-9.8,
EJ02A1,TC11,False,111.366667,-11.9,114.783333,-9.2,142.75,-11.4,
EJ02A1,TC12,False,126.05,-13.1,128.316667,-7.2,150.266667,-8.2,
EJ02A1,TC13,False,140.666667,-14.0,143.666667,-9.4,165.966667,-10.5,
EJ02A1,TC14,False,146.35,-14.0,150.266667,-10.2,170.966667,-11.4,
EJ02A1,TC15,False,109.6,-13.1,111.95,-6.8,132.233333,-8.2,
